,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2,date,StationId
65,2020-01-01 16:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
66,2020-01-01 16:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
67,2020-01-01 16:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
68,2020-01-01 17:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
69,2020-01-01 17:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
70,2020-01-01 17:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
71,2020-01-01 17:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
72,2020-01-01 18:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
73,2020-01-01 18:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
74,2020-01-01 18:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
75,2020-01-01 18:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
76,2020-01-01 19:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
77,2020-01-01 19:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
78,2020-01-01 19:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
79,2020-01-01 19:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
80,2020-01-01 20:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
81,2020-01-01 20:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
82,2020-01-01 20:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
83,2020-01-01 20:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
84,2020-01-01 21:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
85,2020-01-01 21:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
86,2020-01-01 21:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
87,2020-01-01 21:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
88,2020-01-01 22:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
89,2020-01-01 22:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
90,2020-01-01 22:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
91,2020-01-01 22:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
92,2020-01-01 23:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
93,2020-01-01 23:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
94,2020-01-01 23:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
95,2020-01-01 23:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
96,2020-01-02 00:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
97,2020-01-02 00:15:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
98,2020-01-02 00:30:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
99,2020-01-02 00:45:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
100,2020-01-02 01:00:00,,,,,,,,2020-01-02,"Mangala, Bilaspur - NTPC"
