From Date,To Date,PM2.5,PM10,NO,NO2,NOx,Ozone
01-01-2020 17:30,01-01-2020 17:45,72.6,161.6,22.7,65.7,87.4,4.11
01-01-2020 17:45,01-01-2020 18:00,74.1,190.3,23.2,71.4,93.6,3.97
01-01-2020 18:00,01-01-2020 18:15,74.1,190.3,28.5,73.9,101.4,4.19
01-01-2020 18:15,01-01-2020 18:30,74.1,190.3,75.3,83.9,158.2,4.15
01-01-2020 18:30,01-01-2020 18:45,75.2,190.8,138.7,95.7,233.4,4.31
01-01-2020 18:45,01-01-2020 19:00,84.8,195.7,130.6,89.3,218.8,4.37
01-01-2020 19:00,01-01-2020 19:15,None,195.7,114.6,77,190.5,4.6
01-01-2020 19:15,01-01-2020 19:30,None,195.7,136.7,69.5,205.2,4.43
01-01-2020 19:30,01-01-2020 19:45,None,None,191,73,262.9,4.4
01-01-2020 19:45,01-01-2020 20:00,None,None,179.2,67,245.2,4.03
01-01-2020 20:00,01-01-2020 20:15,None,None,229,72,300,4.24
01-01-2020 20:15,01-01-2020 20:30,None,None,249.6,68.8,317.3,4.56
01-01-2020 20:30,01-01-2020 20:45,None,None,254.2,67.6,320.8,4.07
01-01-2020 20:45,01-01-2020 21:00,None,None,296.7,70.3,366,4.2
01-01-2020 21:00,01-01-2020 21:15,None,None,311.6,66.9,377.5,4.17
01-01-2020 21:15,01-01-2020 21:30,None,None,302.3,64,365.2,4.26
01-01-2020 21:30,01-01-2020 21:45,None,None,306.8,57,362.8,4.51
01-01-2020 21:45,01-01-2020 22:00,None,None,311.3,65,375.3,4.5
01-01-2020 22:00,01-01-2020 22:15,None,None,311,76,386,4.35
01-01-2020 22:15,01-01-2020 22:30,None,None,310.7,78,387.7,4.28
01-01-2020 22:30,01-01-2020 22:45,None,None,301.8,77.1,378,4.3
01-01-2020 22:45,01-01-2020 23:00,None,None,292.3,78.3,369.5,4.06
01-01-2020 23:00,01-01-2020 23:15,None,None,277.6,78.6,355.3,3.75
01-01-2020 23:15,01-01-2020 23:30,None,None,260.9,77.5,337.4,4.22
01-01-2020 23:30,01-01-2020 23:45,None,321.7,241.4,74.2,314.6,4.41
01-01-2020 23:45,02-01-2020 00:00,None,None,None,None,None,None
02-01-2020 00:00,02-01-2020 00:15,128.6,256.2,219.3,64.3,282.5,3.89
02-01-2020 00:15,02-01-2020 00:30,128.6,256.2,205,60.7,264.7,3.99
02-01-2020 00:30,02-01-2020 00:45,124.9,252.9,194.6,56.4,250,3.9
02-01-2020 00:45,02-01-2020 01:00,92.5,222.7,183.6,54,236.6,3.77
02-01-2020 01:00,02-01-2020 01:15,92.5,222.7,169.7,51.9,220.6,4.19
02-01-2020 01:15,02-01-2020 01:30,92.5,222.7,158.8,50.3,208.1,4.44
02-01-2020 01:30,02-01-2020 01:45,89.8,222.4,152.5,47.7,199.2,4.05
02-01-2020 01:45,02-01-2020 02:00,65.9,220.1,141.5,46.3,186.8,4.02
02-01-2020 02:00,02-01-2020 02:15,65.9,220.1,133.3,46.7,179,3.83
02-01-2020 02:15,02-01-2020 02:30,65.9,220.1,118.1,47.6,164.7,4.33
02-01-2020 02:30,02-01-2020 02:45,65.8,217.9,108,46.9,153.9,4.05
02-01-2020 02:45,02-01-2020 03:00,64.5,197.7,96.2,48.4,143.6,4.39
02-01-2020 03:00,02-01-2020 03:15,64.5,197.7,86.1,49.4,134.5,4.52
02-01-2020 03:15,02-01-2020 03:30,64.5,197.7,76.8,49.2,125,4.27
02-01-2020 03:30,02-01-2020 03:45,63.4,195.8,70.9,47.6,117.5,4.14
02-01-2020 03:45,02-01-2020 04:00,None,178.6,62.9,48.6,110.5,3.89
02-01-2020 04:00,02-01-2020 04:15,13.5,178.6,59.2,48.1,106.3,4.14
02-01-2020 04:15,02-01-2020 04:30,13.5,178.6,56.1,45.4,100.5,4.38
02-01-2020 04:30,02-01-2020 04:45,18.4,179.7,53.3,42.9,95.3,4.06
02-01-2020 04:45,02-01-2020 05:00,62.2,189.8,50.3,42.6,91.9,3.82
02-01-2020 05:00,02-01-2020 05:15,62.2,189.8,49.3,41.2,89.5,3.8
02-01-2020 05:15,02-01-2020 05:30,62.2,189.8,46.7,40.7,86.4,4
02-01-2020 05:30,02-01-2020 05:45,64.7,190.1,43.4,40.4,82.9,4.06
02-01-2020 05:45,02-01-2020 06:00,87.3,193.1,41.5,39.6,80.1,4.41
02-01-2020 06:00,02-01-2020 06:15,87.3,193.1,40.9,38.8,78.7,4.19
02-01-2020 06:15,02-01-2020 06:30,87.3,193.1,39.6,38.3,76.9,4.15
02-01-2020 06:30,02-01-2020 06:45,90,193.7,37.4,38.2,74.6,4.19
02-01-2020 06:45,02-01-2020 07:00,114.2,199.1,35.6,37.1,71.8,4.16
02-01-2020 07:00,02-01-2020 07:15,114.2,199.1,33.9,41,73.9,4.33
02-01-2020 07:15,02-01-2020 07:30,114.2,199.1,32.6,43.9,75.5,4.28
02-01-2020 07:30,02-01-2020 07:45,112.6,198.5,32.1,44.1,75.2,4.35
02-01-2020 07:45,02-01-2020 08:00,98.3,192.7,31.7,43.9,74.6,16.65
02-01-2020 08:00,02-01-2020 08:15,98.3,192.7,30.7,44.1,73.9,5.75
02-01-2020 08:15,02-01-2020 08:30,98.3,192.7,29.6,45.2,73.7,4.85
02-01-2020 08:30,02-01-2020 08:45,99.8,194.9,28.1,45.6,72.6,4.27
02-01-2020 08:45,02-01-2020 09:00,113.1,213.9,27.2,46.4,72.5,29.93
02-01-2020 09:00,02-01-2020 09:15,113.1,213.9,26.5,44,69.5,19.79
02-01-2020 09:15,02-01-2020 09:30,113.1,213.9,26.1,42.8,67.9,4.23
02-01-2020 09:30,02-01-2020 09:45,111.8,212.4,25.3,42.1,66.4,10.06
02-01-2020 09:45,02-01-2020 10:00,100.6,198.5,24.6,41.3,64.8,4.51
02-01-2020 10:00,02-01-2020 10:15,100.6,198.5,24.1,40.8,63.9,4.75
02-01-2020 10:15,02-01-2020 10:30,100.6,198.5,23,40.8,62.8,4.98
02-01-2020 10:30,02-01-2020 10:45,100.3,198.5,22,40.5,61.5,4.78
02-01-2020 10:45,02-01-2020 11:00,97.5,199,19.9,42.5,61.4,5.1
02-01-2020 11:00,02-01-2020 11:15,97.5,199,11.8,53.1,63.9,6.63
02-01-2020 11:15,02-01-2020 11:30,97.5,199,6.4,49,54.4,48.41
02-01-2020 11:30,02-01-2020 11:45,94.2,197.9,4.7,44,47.7,58.5
02-01-2020 11:45,02-01-2020 12:00,64.7,188,4,36.2,39.2,67.37
02-01-2020 12:00,02-01-2020 12:15,64.7,188,4.1,40.2,43.3,55.18
02-01-2020 12:15,02-01-2020 12:30,64.7,188,3.7,35,37.7,78.52
02-01-2020 12:30,02-01-2020 12:45,66.9,187.3,3.5,28.1,30.6,87.9
02-01-2020 12:45,02-01-2020 13:00,87.1,180.7,3.5,28.5,31.1,89.13
02-01-2020 13:00,02-01-2020 13:15,87.1,180.7,3.6,30.8,33.4,75.89
02-01-2020 13:15,02-01-2020 13:30,87.1,180.7,3.5,33.8,36.3,29.43
02-01-2020 13:30,02-01-2020 13:45,82.8,179.1,3.6,33.1,35.7,12.04
02-01-2020 13:45,02-01-2020 14:00,43.4,165.4,3.9,31.8,34.6,13.85
